userId,movieId,rating,user_enc,movie_enc,rating_norm
U1,297762,4.074815182348248,0,4514,0.7687495446654604
U1,339403,3.763406979861181,0,4673,0.6908709931108321
U1,177572,3.659200386841485,0,4041,0.6648104768431091
U1,293660,4.299445749642022,0,4484,0.8249263026185851
U1,283995,4.534363588114497,0,4434,0.883675753816295
U1,19995,3.754964601371157,0,2744,0.6887596800393457
U1,245891,4.522978835579979,0,4261,0.880828596836758
U1,271110,4.704570430674093,0,4381,0.9262419491103273
U1,166426,4.633676336300248,0,4008,0.9085123924078463
U1,155,3.940591461381808,0,78,0.7351821919443223
U1,268531,4.543775353173457,0,4367,0.8860294960251076
U1,198663,3.681374751460543,0,4099,0.6703559550430553
U1,119450,4.132143858438874,0,3839,0.7830865923759099
U1,126889,4.485742355065266,0,3866,0.8715163078722488
U1,348893,3.836318331581832,0,4712,0.7091050358192293
U1,440597,3.9727587997216993,0,4882,0.7432267639795835
U1,284053,4.666706825156608,0,4435,0.9167728255265964
U1,263115,3.8149452530395633,0,4343,0.7037599473281695
U1,118340,4.770922199697655,0,3836,0.9428355379219673
U1,403119,3.739887951990108,0,4823,0.6849892346666301
U1,360249,4.57220486411434,0,4734,0.8931392931203669
U1,353491,3.672058279583392,0,4719,0.6680260442391736
U1,324552,4.350858074503587,0,4609,0.8377837590384782
U1,337339,4.285913402686033,0,4666,0.821542064272741
U1,22,4.609283459307739,0,9,0.9024120973184587
U1,460846,4.769097476805097,0,4893,0.9423792019143539
U1,258489,4.170004552840888,0,4323,0.7925549879330365
U1,274857,4.858391142304999,0,4396,0.9647102172074551
U1,20737,1.0070900159677147,0,2772,0.0015571887244844815
U1,245,1.725988281645326,0,131,0.1813429336052154
U1,394684,2.1696239866076468,0,4803,0.2922896133793838
U1,13764,2.5127461757066287,0,2331,0.3780993604569092
U1,26789,2.8801997155724584,0,2988,0.46999401583150613
U1,10669,1.7801161060003416,0,1762,0.1948794959883049
U1,709,1.0792642682520723,0,351,0.01960689384642178
U1,10198,1.936559288291944,0,1627,0.2340036049236586
U1,1717,2.640040912108353,0,632,0.4099338773781718
U1,374475,1.4785335026804582,0,4761,0.11945818038695359
U1,330459,2.2942770025796158,0,4636,0.3234634753819946
